X-Mailgun-Tag,95
X-Mailgun-Native-Send,1
X-YMail-OSG,106
X-Csa-Complaints,1
X-Mailin-Campaign,54
X-Mailin-Client,26
X-sib-id,60
X-SpamExperts-Domain,20
X-SpamExperts-Username,20
Authentication-Results,307
X-SpamExperts-Outgoing-Class,2
X-SpamExperts-Outgoing-Evidence,21
X-Recommended-Action,1
X-Filter-ID,37
X-Report-Abuse-To,22
X-PostalOut-Country,2
X-PostalOut-Information,2
X-PostalOut-MsgID,2
X-PostalOut-SpamCheck,2
X-PostalOut-From,1
X-PostalOut-Watermark,2
X-EmailOctopus-Version,1
X-EmailOctopus-Started-Preparing-At,56
X-EmailOctopus-Ses-Configuration-Set-Name,1
X-EmailOctopus-Sent-At,56
X-EmailOctopus-Parent-Type-Id,1
X-EmailOctopus-Parent-Id,56
X-EmailOctopus-List-Id,2
X-EmailOctopus-List-Contact-Id,2
X-SES-Outgoing,205
X-GRID-REF,26
X-GRID-QID,26
X-MA-Reference,26
X-MA-Instance,26
X-MailingID,39
IronPort-SDR,147
X-SpamCop-sourceip,56
X-WCRX,2
X-WCMS,33
X-PHP-Script,28
X-Identify,24
X-CMC,2
X-Campaignid,25
X-SentFromRelay,4
X-SentFromServer,4
X-BM-User,2
X-EMMAIL,15
X-Cron-Env,93
X-Dc-Mid,15
X-Postmaster-Msgtype,16
X-Member-Id,2
X-Campaign-Id,24
X-Exim-Id,78
Errors-to,3
X-Xyz-cr,2
X-Xyz-cn,24
X-Xyz-bcn,24
X-Xyz-md,1
X-Xyz-mg,24
X-Xyz-et,1
X-Xyz-pk,2
X-Xyz-ct,24
X-Xyz-bct,24
X-Xyz-Rcpt-Hash,1
X-hMailServer-Reason-Score,2
X-Mru-Trust-IP,29
X-OutGoing-Spam-Status,37
X-CSA-Complaints,30
X-SFMC-Stack,6
X-Failed-Recipients,30
X-NAI-Spam-Level,1
X-NAI-Spam-Score,2
X-Virus-Status,10
x-priority,1
importance,1
X-SG-ID,155
Eyepieces-Spiller-Parenthesis,1
Orthodox-Snbskqt-Porto,1
Dewitt-Espy-Capitalizes,1
X-Batch-ID,4
X-ClientProxiedBy,97
ARC-Message-Signature,190
ARC-Seal,190
ARC-Authentication-Results,58
X-EsetResult,1
X-EsetId,27
X-Message-Type,1
DMARC-Filter,4
X-fm-smtp-source,1
X-AccountId,53
X-Originating-Ip,51
X-VR-SPAMSTATE,2
X-VR-SPAMSCORE,6
X-VR-SPAMCAUSE,56
X-EMID,7
X-Kerio-Anti-Spam,27
X-Spam-Level,22
X-Footer,33
X-Abuse,9
X-msgtype,1
X-BPS1,1
X-SmartFilter,47
X-EnvId,74
X-IronPort-Anti-Spam-Filtered,1
X-IronPort-Anti-Spam-Result,9
Spam_Positive,1
X-IronPort-AV,14
X-CM-Original-Message-ID,34
X-CM-TRANSID,41
X-Envelope-Sender,5
X-ME-Bayesian,2
X-Library,2
X-AWMessage,18
X_Id,20
Require-Recipient-Valid-Since,22
X-Subscription,7
X-Msg-Ref,18
X-StarScan-Received,1
X-StarScan-Version,3
X-VirusChecked,1
X-Sp-Message-Id,6
X-PS-FBL,1
X-OrganizationHeadersPreserved,42
X-SpamInfo,6
Locaweb_Exchange,1
X-AuthUser,58
X-MessageID,102
X-Message-Reference,18
X-RPCampaign,18
X-Mailer-Reference,18
Disposition-Notification-To,21
X-ASG-Debug-ID,15
X-Barracuda-Envelope-From,13
X-Barracuda-Effective-Source-IP,9
X-Barracuda-Apparent-Source-IP,10
X-ASG-Orig-Subj,14
X-Barracuda-Connect,14
X-Barracuda-Start-Time,15
X-Barracuda-URL,13
X-Barracuda-License,1
X-Barracuda-BRTS-Status,1
X-Barracuda-Scan-Msg-Size,10
Plasterer-Profiling-Restoration,1
Skirmish-Vice-Subordinated,1
X-header,2
X-EntornoDigital-MailScanner-Information,1
X-EntornoDigital-MailScanner-ID,5
X-EntornoDigital-MailScanner,1
X-EntornoDigital-MailScanner-SpamCheck,5
X-EntornoDigital-MailScanner-SpamScore,2
X-EntornoDigital-MailScanner-From,1
X-EntornoDigital-MailScanner-To,5
X-login,49
dkim-signature,30
to,1
X-Clab-Family,2
X-10pl8ID,1
X-MachineName,15
X-Sable-ID,20
Thread-Topic,88
Accept-Language,10
X-MS-Has-Attach,2
X-MS-TNEF-Correlator,1
x-originating-ip,40
X-Sid,18
X-Return-Path,50
X-DSPAM-Result,1
X-DSPAM-Processed,25
X-DSPAM-Confidence,15
X-DSPAM-Probability,1
X-DSPAM-Signature,25
X-Spam-Flag,4
X-Spam-Score,78
X-DNSRBL,1
X-MAIL,5
X-CP-Transaction-ID,9
X-CP-For,9
X-AuditID,11
X-Brightmail-Tracker,12
Chairs-Insurrections,1
Trickle-Blessed-Sedimentary,1
Ypsilanti-Bluffing,1
Impracticable-Unselfishly,1
X-MS-Exchange-Authentication-Results,12
X-EOPAttributedMessage,1
X-Forefront-Antispam-Report,101
X-MS-PublicTrafficType,1
X-MS-Office365-Filtering-Correlation-Id,78
X-MS-TrafficTypeDiagnostic,98
X-Microsoft-Antispam-PRVS,102
X-MS-Oob-TLC-OOBClassifiers,24
X-MS-Exchange-SenderADCheck,2
X-Microsoft-Antispam,1
X-Microsoft-Antispam-Message-Info,106
X-OriginatorOrg,41
X-MS-Exchange-CrossTenant-OriginalArrivalTime,106
X-MS-Exchange-CrossTenant-Network-Message-Id,145
X-MS-Exchange-CrossTenant-Id,14
X-MS-Exchange-CrossTenant-OriginalAttributedTenantConnectingIp,14
X-MS-Exchange-CrossTenant-AuthSource,32
X-MS-Exchange-CrossTenant-AuthAs,2
X-MS-Exchange-CrossTenant-FromEntityHeader,3
X-MS-Exchange-Transport-CrossTenantHeadersStamped,141
X-Spam-CTCH-RefID,1
X-WebdevHosting-MailScanner-Information,1
X-WebdevHosting-MailScanner-ID,1
X-WebdevHosting-MailScanner,1
X-WebdevHosting-MailScanner-SpamCheck,1
X-WebdevHosting-MailScanner-From,1
X-AXIGEN-SPF-Result,1
X-AXIGEN-DK-Result,2
DomainKey-Status,2
X-AXIGEN-DKIM-Result,2
DKIM-Status,2
X-MSFBL,101
X-HH-TAGS,13
FROM,5
X-RCPT-TO,3
X-Relaying-Domain,2
X-ML-Name,3
X-Mail-Count,21
X-Originating-Client,1
X-PHP-Filename,3
X-CMAE-OUT-Analysis,13
X-CMAE-OUT-Score,3
X-BT-OutboundSpamChecked,1
X-HTTP-Received,18
X-QQ-mid,9
X-QQ-SSF,7
X-QQ-FEAT,9
X-QQ-GoodBg,1
X-QQ-SENDSIZE,1
X-QQ-Bgrelay,1
X-Unsubscribe-Web,62
Mafiosi-Despair-Lasts,1
Appending-Pixels-Lodged,1
X-Original-Subject,5
X-PVIQ,40
X-MarketoID,50
X-MktArchive,1
X-Mailfrom,50
X-MSYS-API,1
X-MktMailDKIM,1
X-cPanel-MailScanner-Information,1
X-cPanel-MailScanner-ID,1
X-cPanel-MailScanner,1
X-cPanel-MailScanner-SpamCheck,1
X-cPanel-MailScanner-From,1
X-K,1
X-Sensmail-Info,5
X-Sensmail-Rcptkey,5
X-ClientIP,3
X-Sequence,5
X-no-archive,1
X-Original-DKIM-Signature,4
X-Original-From,3
Abilene-Tautological-Petition,1
X-TERRACE-SID,7
X-Outbound-IP,2
X-Env-From,1
X-Proto,1
X-Revdns,2
X-TLS,2
X-Authenticated_ID,1
X-PolicySMART,2
X-Spam-Checker-Version,35
X-Maileon-FingerPrint,9
X-MailType,1
X-SignalSpam-CID,19
X-CAMPAIGNTYPE,1
X-job,8
X-ACTITO_INTERACTION_ID,10
X-MIMETrack,23
X-TNEFEvaluated,1
X-Abuse-Info,38
X-EndpointSecurity-0xde81-EV,3
X-Sender-Id,28
X-LW-Relay,4
X-LW-SenderId,19
X-Outbound-RspamD,1
X-MC,1
X-mid,9
X-MDAV-Processed,7
X-Spam-Processed,27
X-MDPtrLookup-Result,5
X-MDHeloLookup-Result,7
X-MDMailLookup-Result,5
X-MDDK-Result,4
X-MDDKIM-Result,4
X-MDSPF-Result,1
X-MDRemoteIP,20
X-Envelope-From,25
X-MDaemon-Deliver-To,18
Content-Length,7
X-Crdl-Mc,8
X-Slip-uID,3
X-Slip-active,1
X-BeverlyMail-Recipient,3
X-BeverlyMail-MTA,1
x-schdl,6
X-KSE-AntiSpam-Interceptor-Info,2
X-KSE-Antivirus-Interceptor-Info,2
X-KSE-Antivirus-Info,2
X-Amavis-Modified,13
X-Coremail-Antispam,7
X-CM-SenderInfo,7
X-CM-MessageId,19
X-IPAS-Result,5
X-GlobalOfficeSoftware-MailScanner-Information,1
X-GlobalOfficeSoftware-MailScanner-ID,7
X-GlobalOfficeSoftware-MailScanner,1
X-GlobalOfficeSoftware-MailScanner-SpamCheck,1
X-GlobalOfficeSoftware-MailScanner-From,1
Trident-Via,1
Original-From,3
X-intended-MTA,1
X-AAID/CID,1
X-MRID,6
X-OP-DA,1
X-OP-LA,1
X-OP-MARKETING,1
X-OP-QID,6
X-OP-QT,6
X-unsubscriber-link,6
x-sender,3
x-receiver,1
X-Rhwm-Tracking-Did,1
X-Rhwm-Subscriber-Uid,14
X-Rhwm-Mailer,1
X-Rhwm-EBS,1
X-Rhwm-Delivery-Sid,1
X-Rhwm-Customer-Uid,9
X-Rhwm-Customer-Gid,1
X-Rhwm-Campaign-Uid,9
X-Forefront-PRVS,43
X-WT-Originating-IP,11
X-WT-Authenticated-As,1
X-WatchGuard-Spam-ID,15
X-WatchGuard-Spam-Score,3
X-WatchGuard-Mail-Client-IP,15
X-WatchGuard-Mail-From,3
X-WatchGuard-Mail-Recipients,15
Form-Sub,32
x-locaweb-id,50
X-LocaWeb-COR,1
X-SmarterMail-Authenticated-As,17
x-mid,20
x-rpcampaign,20
x-orgId,3
X-Sender-Uid,1
X-phpList-version,1
X-ListMember,1
Original_Domain,1
Dkim-Signature,5
Signed-By,2
X-MJ-Mid,41
X-REPORT-ABUSE-TO,1
X-UMS,1
X-ID,7
X-TOI-EXPURGATEID,7
X-TOI-MSGID,7
X-SA-Exim-Connect-IP,6
X-SA-Exim-Rcpt-To,1
X-SA-Exim-Mail-From,4
X-SA-Exim-Scanned,4
X-MailPersonHistoryID,2
X-xsMailingId,2
X-MailPersonSubscriberID,1
X-MailPersonEmail,1
List-id,5
X-Modus-BlackList,3
X-Modus-Spam-Version,4
X-Modus-Audit,1
X-SCA-Stop,1
X-Bm-Milter-Handled,1
X-Bm-Transport-Timestamp,28
X-Message-Id,5
x-incomingtopheadermarker,16
x-tmn,16
x-ms-publictraffictype,1
x-incomingheadercount,6
x-eopattributedmessage,1
x-ms-office365-filtering-correlation-id,39
x-ms-exchange-slblob-mailprops,8
x-ms-traffictypediagnostic,44
x-microsoft-antispam,1
x-microsoft-antispam-message-info,39
x-forefront-antispam-report,39
x-ms-exchange-antispam-messagedata,43
x-ms-exchange-transport-forked,1
X-MS-Exchange-CrossTenant-RMS-PersistedConsumerOrg,2
X-MS-Exchange-CrossTenant-rms-persistedconsumerorg,1
X-MS-Exchange-CrossTenant-originalarrivaltime,39
X-MS-Exchange-CrossTenant-fromentityheader,2
X-MS-Exchange-CrossTenant-id,14
X-Mailgun-Batch-Id,16
X-Mailgun-Variables,17
X-Sendout-Id,4
X-SendoutId,4
X-Console-Id,2
X-MTA,4
X-Uid,2
X-SenderName-ClientID,2
envelope-sender,2
X-SE-Account-Id,1
X-SE-Campaign-Type,1
X-SE-Sent-Record-Uid,4
X-CampaignId,5
X-Abuse-Reports-To,2
X-CSA-complaints,1
X-CampaignID,42
X-BlueSkySamoa-MailScanner-Information,1
X-BlueSkySamoa-MailScanner-ID,11
X-BlueSkySamoa-MailScanner,1
X-BlueSkySamoa-MailScanner-SpamCheck,11
X-BlueSkySamoa-MailScanner-SpamScore,5
X-BlueSkySamoa-MailScanner-From,2
Abuse-Reports-To,23
X-aid,25
X-MDArrival-Date,15
X-Message-ID,23
Mail-Reply-To,24
Return-Receipt-To,5
X-PHP-Qdmail,1
X-MJ-SMTPGUID,30
List-unsubscribe,6
X-WORKER_ID,18
X-MAIL_ID,21
X-MEMBER_ID,10
X-SEND_TYPE,2
X-LIST_TABLE,4
X-DNPM,1
X-QUEUED-AT,1
X-MAIL-CREATED-AT,1
sent-on,1
X-DSNContext,2
X-Amavis-Alert,4
Comment,2
X-SMTP37-MailScanner-Information,1
X-SMTP37-MailScanner-ID,6
X-SMTP37-MailScanner,1
X-SMTP37-MailScanner-From,2
X-Qmail-Scanner-1.25st,1
X-CSC,1
X-CHA,8
X-CTCH-RefID,13
X-CTCH-VOD,1
X-CTCH-Spam,4
X-CTCH-Score,3
X-CTCH-Rules,3
X-CTCH-Flags,5
X-CTCH-ScoreCust,1
X-Origin-Country,2
Tracking-ID,23
X-Re-Id,21
X-FE-Policy-ID,1
X-Naver-CIP,21
X-Session-ID,34
x-copernica-mid,36
X-Authentication-Warning,5
X-Client-IP,2
X-Message-Flag,1
X-Hash,10
Content-description,1
